,Name,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
61,RIESCO Forrest,00:55.929,01:38.964,02:22.579,03:16.855,03:51.209,00:55.929,00:43.035,00:43.615,00:54.276,00:34.354,3.84,57,4.167,37,4.857,64,7.526,73,3.429,69,3.84,57,8.007,43,11.609,55,19.135,60,22.523,62
62,BRYCELAND Josh,01:03.203,01:45.463,02:29.977,03:19.509,03:51.755,01:03.203,00:42.260,00:44.514,00:49.532,00:32.246,11.114,82,3.392,21,5.756,77,2.782,15,1.321,12,11.114,82,14.506,81,19.007,81,21.789,70,23.069,63
63,MEARS Scott,00:57.381,01:41.285,02:25.753,03:17.753,03:51.825,00:57.381,00:43.904,00:44.468,ays 00:00,00:34.072,5.292,76,5.036,56,5.71,75,5.25,58,3.147,63,5.292,76,10.328,65,14.783,71,20.033,64,23.139,64
64,ZWAR Oliver,00:56.957,01:41.687,02:25.320,03:16.910,03:51.927,00:56.957,00:44.730,00:43.633,00:51.590,00:35.017,4.868,74,5.862,62,4.875,66,4.84,49,4.092,78,4.868,74,10.73,67,14.35,66,19.19,61,23.241,65
65,PONS Melvin,00:56.516,01:40.034,02:25.552,03:18.274,03:52.245,00:56.516,00:43.518,00:45.518,00:52.722,00:33.971,4.427,68,4.65,47,6.76,80,5.972,67,3.046,62,4.427,68,9.077,58,14.582,70,20.554,66,23.559,66
66,GEORGES Pierre Charles,00:58.124,01:44.085,02:27.338,03:19.197,03:52.400,00:58.124,00:45.961,00:43.253,00:51.859,00:33.203,6.035,80,7.093,74,4.495,57,5.109,57,2.278,39,6.035,80,13.128,80,16.368,79,21.477,69,23.714,67
67,GANNICOTT George,00:56.092,01:41.093,02:23.977,03:19.086,03:52.444,00:56.092,00:45.001,00:42.884,00:55.109,00:33.358,4.003,60,6.133,65,4.126,48,8.359,74,2.433,45,4.003,60,10.136,62,13.007,60,21.366,68,23.758,68
68,CHAPUIS Maxime,00:56.684,01:43.474,02:26.529,03:18.162,03:52.627,00:56.684,00:46.790,00:43.055,00:51.633,00:34.465,4.595,70,7.922,79,4.297,51,4.883,52,3.54,71,4.595,70,12.517,77,15.559,74,20.442,65,23.941,69
69,DAVIES Emyr,00:56.868,01:43.044,02:25.375,03:19.540,03:53.091,00:56.868,00:46.176,00:42.331,00:54.165,00:33.551,4.779,73,7.308,75,3.573,28,7.415,72,2.626,51,4.779,73,12.087,72,14.405,67,21.82,71,24.405,70
70,POTGIETER Johann,00:58.054,01:43.511,02:26.931,03:18.536,03:53.543,00:58.054,00:45.457,00:43.420,00:51.605,00:35.007,5.965,79,6.589,70,4.662,61,4.855,50,4.082,77,5.965,79,12.554,78,15.961,76,20.816,67,24.857,71
