,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
150,51.0,HANNAH Michael,POLYGON UR,01:11.366,01:57.989,02:20.685,02:56.146,03:27.954,01:11.366,00:46.623,00:22.696,00:35.461,00:31.808,4.613,28,4.672,63,3.131,71,7.331,69,2.459,31,4.613,28,9.285,44,12.021,50,19.352,58,18.823,51
153,52.0,PONS Melvin,US CAGNES VTT,01:15.262,02:01.252,02:22.911,02:55.771,03:27.989,01:15.262,00:45.990,00:21.659,00:32.860,00:32.218,8.509,70,4.039,54,2.094,52,4.73,49,2.869,48,8.509,70,12.548,65,14.247,63,18.977,57,18.858,52
156,53.0,PIERRON Baptiste,VOULVOUL RACING,01:11.927,01:56.679,02:17.895,02:49.504,03:28.035,01:11.927,00:44.752,00:21.216,00:31.609,00:38.531,5.174,35,2.801,23,1.651,33,3.479,29,9.182,74,5.174,35,7.975,30,9.231,29,12.71,28,18.904,53
159,54.0,GRUBER Manuel,RRP,01:14.140,02:00.708,02:23.186,02:56.388,03:28.329,01:14.140,00:46.568,00:22.478,00:33.202,00:31.941,7.387,63,4.617,61,2.913,67,5.072,56,2.592,35,7.387,63,12.004,60,14.522,65,19.594,60,19.198,54
162,55.0,PAULHAN Romain,LES GETS-INTENSE TEAM,01:14.999,02:01.639,02:23.153,02:56.169,03:28.921,01:14.999,00:46.640,00:21.514,00:33.016,00:32.752,8.246,68,4.689,64,1.949,47,4.886,52,3.403,51,8.246,68,12.935,67,14.489,64,19.375,59,19.79,55
165,56.0,LALY Thibault,ADH BANSHEE TEAM,01:13.688,01:59.837,02:22.081,02:56.496,03:29.738,01:13.688,00:46.149,00:22.244,00:34.415,00:33.242,6.935,56,4.198,56,2.679,62,6.285,64,3.893,56,6.935,56,11.133,57,13.417,57,19.702,61,20.607,56
168,57.0,TRUMMER David,RRP,01:14.124,02:00.725,02:22.307,02:54.130,03:30.351,01:14.124,00:46.601,00:21.582,00:31.823,00:36.221,7.371,62,4.65,62,2.017,48,3.693,34,6.872,71,7.371,62,12.021,61,13.643,61,17.336,51,21.22,57
171,58.0,PAZDZIORKO Gregoire,,01:16.864,02:05.204,02:26.843,02:58.945,03:30.938,01:16.864,00:48.340,00:21.639,00:32.102,00:31.993,10.111,76,6.389,75,2.074,51,3.972,36,2.644,39,10.111,76,16.5,73,18.179,71,22.151,63,21.807,58
174,59.0,LARBEYOU Guillaume,TEAM FOCUS AVEYRON,01:13.795,02:00.205,02:22.300,02:57.490,03:31.513,01:13.795,00:46.410,00:22.095,00:35.190,00:34.023,7.042,58,4.459,59,2.53,61,7.06,67,4.674,64,7.042,58,11.501,58,13.636,60,20.696,62,22.382,59
177,60.0,HARNSTROM Oscar,EXCEPTIO SPORT COMMENCAL,01:12.062,01:57.332,02:18.372,03:00.341,03:32.305,01:12.062,00:45.270,00:21.040,00:41.969,00:31.964,5.309,37,3.319,40,1.475,26,13.839,79,2.615,37,5.309,37,8.628,36,9.708,33,23.547,66,23.174,60
