,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
132,45.0,LUKASIK Slawomir,,01:32.934,02:21.370,03:21.411,03:47.638,04:31.445,01:32.934,00:48.436,01:00.041,00:26.227,00:43.807,3.538,40,3.029,42,5.216,70,3.378,59,4.475,56,3.538,40,6.567,40,11.783,51,14.946,50,17.834,45
135,46.0,NEETHLING Andrew,POLYGON UR,01:32.560,02:21.606,03:20.843,03:46.755,04:31.656,01:32.560,00:49.046,00:59.237,00:25.912,00:44.901,3.164,33,3.639,53,4.412,59,3.063,53,5.569,62,3.164,33,6.803,42,11.215,45,14.063,45,18.045,46
138,47.0,CAROLI Jerome,,01:35.073,02:26.482,03:23.288,03:49.915,04:32.320,01:35.073,00:51.409,00:56.806,00:26.627,00:42.405,5.677,69,6.002,75,1.981,21,3.778,62,3.073,33,5.677,69,11.679,69,13.66,62,17.223,55,18.709,47
141,48.0,CIRIEGO Maxime,DORVAL AM NICOLAI,01:32.054,02:20.408,03:19.026,03:44.036,04:32.364,01:32.054,00:48.354,00:58.618,00:25.010,00:48.328,2.658,28,2.947,37,3.793,52,2.161,39,8.996,74,2.658,28,5.605,27,9.398,35,11.344,30,18.753,48
144,49.0,BUTTON Joshua,,01:34.598,02:24.365,03:23.003,03:48.975,04:32.456,01:34.598,00:49.767,00:58.638,00:25.972,00:43.481,5.202,62,4.36,64,3.813,54,3.123,56,4.149,50,5.202,62,9.562,65,13.375,60,16.283,53,18.845,49
147,50.0,MCDOWALL Kirk,,01:34.912,02:23.940,03:23.599,03:49.651,04:32.506,01:34.912,00:49.028,00:59.659,00:26.052,00:42.855,5.516,68,3.621,52,4.834,69,3.203,58,3.523,42,5.516,68,9.137,60,13.971,63,16.959,54,18.895,50
150,51.0,SEHNAL Stanislav,,01:34.771,02:22.349,03:20.045,03:45.542,04:32.672,01:34.771,00:47.578,00:57.696,00:25.497,00:47.130,5.375,67,2.171,17,2.871,42,2.648,46,7.798,72,5.375,67,7.546,48,10.417,43,12.85,40,19.061,51
153,52.0,MASTERS Edward,BERGAMONT HAYES FACTORY TEAM,01:29.514,02:17.033,03:14.016,03:48.214,04:33.118,01:29.514,00:47.519,00:56.983,00:34.198,00:44.904,0.118,2,2.112,14,2.158,26,11.349,74,5.572,63,0.118,2,2.23,3,4.388,5,15.522,51,19.507,52
156,53.0,CHAPUIS Maxime,,01:36.714,02:26.817,03:26.389,03:52.375,04:34.907,01:36.714,00:50.103,00:59.572,00:25.986,00:42.532,7.318,73,4.696,70,4.747,68,3.137,57,3.2,37,7.318,73,12.014,71,16.761,70,19.683,57,21.296,53
159,54.0,SCHROEDER Jason,,01:32.690,02:21.006,03:18.178,03:42.387,04:35.037,01:32.690,00:48.316,00:57.172,00:24.209,00:52.650,3.294,34,2.909,36,2.347,30,1.36,18,13.318,78,3.294,34,6.203,35,8.55,32,9.695,23,21.426,54
162,55.0,GWIN Aaron,THE YT MOB,01:36.762,02:26.685,03:26.183,03:53.129,04:35.710,01:36.762,00:49.923,00:59.498,00:26.946,00:42.581,7.366,75,4.516,68,4.673,66,4.097,64,3.249,40,7.366,75,11.882,70,16.555,69,20.437,63,22.099,55
165,56.0,BOUTIE Benjamin,,01:36.718,02:28.299,03:27.775,03:53.150,04:35.870,01:36.718,00:51.581,00:59.476,00:25.375,00:42.720,7.322,74,6.174,76,4.651,65,2.526,44,3.388,41,7.322,74,13.496,73,18.147,71,20.458,64,22.259,56
168,57.0,GUTIERREZ Rafael,,01:34.638,02:24.242,03:22.179,03:52.563,04:35.902,01:34.638,00:49.604,00:57.937,00:30.384,00:43.339,5.242,63,4.197,63,3.112,44,7.535,71,4.007,47,5.242,63,9.439,63,12.551,56,19.871,59,22.291,57
171,58.0,PONS Melvin,US CAGNES VTT,01:35.301,02:24.266,03:22.053,03:52.666,04:36.143,01:35.301,00:48.965,00:57.787,00:30.613,00:43.477,5.905,71,3.558,51,2.962,43,7.764,72,4.145,49,5.905,71,9.463,64,12.425,54,19.974,61,22.532,58
174,59.0,CARBALLO GONZALEZ Edgar,,01:34.697,02:25.025,03:25.628,03:52.625,04:36.764,01:34.697,00:50.328,01:00.603,00:26.997,00:44.139,5.301,66,4.921,73,5.778,72,4.148,65,4.807,58,5.301,66,10.222,68,16.0,66,19.933,60,23.153,59
177,60.0,ATHERTON Gee,TREK FACTORY RACING DH,01:33.642,02:23.496,03:26.045,03:52.862,04:37.164,01:33.642,00:49.854,01:02.549,00:26.817,00:44.302,4.246,49,4.447,65,7.724,77,3.968,63,4.97,60,4.246,49,8.693,58,16.417,68,20.17,62,23.553,60
180,61.0,PARDAL Francisco,,01:33.934,02:23.512,03:20.964,03:44.985,04:37.516,01:33.934,00:49.578,00:57.452,00:24.021,00:52.531,4.538,54,4.171,62,2.627,35,1.172,12,13.199,77,4.538,54,8.709,59,11.336,47,12.293,37,23.905,61
183,62.0,CANALS FLIX Pasqual,,01:34.692,02:24.621,03:25.277,03:52.495,04:37.615,01:34.692,00:49.929,01:00.656,00:27.218,00:45.120,5.296,65,4.522,69,5.831,73,4.369,66,5.788,65,5.296,65,9.818,66,15.649,64,19.803,58,24.004,62
186,63.0,PICCOLO Julien,,01:34.196,02:24.116,03:25.348,03:53.532,04:38.634,01:34.196,00:49.920,01:01.232,00:28.184,00:45.102,4.8,58,4.513,67,6.407,74,5.335,69,5.77,64,4.8,58,9.313,62,15.72,65,20.84,65,25.023,63
189,64.0,MACDONALD Brook,GT FACTORY RACING,01:32.956,02:21.765,03:23.177,03:51.043,04:39.116,01:32.956,00:48.809,01:01.412,00:27.866,00:48.073,3.56,41,3.402,50,6.587,75,5.017,67,8.741,73,3.56,41,6.962,44,13.549,61,18.351,56,25.505,64
192,65.0,GALLAGHER Kenta,,01:33.595,02:21.636,03:18.135,03:56.336,04:39.291,01:33.595,00:48.041,00:56.499,00:38.201,00:42.955,4.199,47,2.634,28,1.674,14,15.352,77,3.623,43,4.199,47,6.833,43,8.507,31,23.644,67,25.68,65
195,66.0,ETXEBARRIA Iraitz,,01:34.304,02:23.366,03:22.736,03:48.246,04:39.819,01:34.304,00:49.062,00:59.370,00:25.510,00:51.573,4.908,60,3.655,54,4.545,63,2.661,47,12.241,76,4.908,60,8.563,56,13.108,59,15.554,52,26.208,66
198,67.0,WILLIAMSON Greg,CUBE GLOBAL SQUAD PROTECTED BY BLISS,01:31.062,02:35.457,03:33.626,03:59.411,04:41.242,01:31.062,01:04.395,00:58.169,00:25.785,00:41.831,1.666,12,18.988,79,3.344,48,2.936,52,2.499,24,1.666,12,20.654,76,23.998,75,26.719,73,27.631,67
201,68.0,SIMMONDS Matthew,MADISON SARACEN FACTORY TEAM,01:31.927,02:20.671,03:20.113,03:56.327,04:41.485,01:31.927,00:48.744,00:59.442,00:36.214,00:45.158,2.531,26,3.337,49,4.617,64,13.365,75,5.826,66,2.531,26,5.868,29,10.485,44,23.635,66,27.874,68
204,69.0,BLAIR Lachlan,,01:37.036,02:27.150,03:25.900,03:57.290,04:41.494,01:37.036,00:50.114,00:58.750,00:31.390,00:44.204,7.64,76,4.707,71,3.925,55,8.541,73,4.872,59,7.64,76,12.347,72,16.272,67,24.598,68,27.883,69
207,70.0,CUNNINGHAM Ruaridh,UNIOR TOOLS TEAM,01:31.957,02:19.784,03:16.564,03:58.498,04:42.253,01:31.957,00:47.827,00:56.780,00:41.934,00:43.755,2.561,27,2.42,23,1.955,20,19.085,78,4.423,53,2.561,27,4.981,22,6.936,18,25.806,70,28.642,70
210,71.0,ACUNA QUINTANA Mauricio Andres,,01:33.473,02:23.331,03:22.563,03:58.904,04:42.487,01:33.473,00:49.858,00:59.232,00:36.341,00:43.583,4.077,45,4.451,66,4.407,58,13.492,76,4.251,52,4.077,45,8.528,55,12.935,58,26.212,72,28.876,71
213,72.0,ATWILL Philip,PROPAIN DIRT ZELVY,01:39.209,02:36.352,03:35.666,04:00.311,04:43.704,01:39.209,00:57.143,00:59.314,00:24.645,00:43.393,9.813,77,11.736,78,4.489,61,1.796,26,4.061,48,9.813,77,21.549,77,26.038,76,27.619,74,30.093,72
216,73.0,HANNAH Michael,POLYGON UR,01:41.457,02:30.086,03:32.408,03:58.768,04:44.612,01:41.457,00:48.629,01:02.322,00:26.360,00:45.844,12.061,78,3.222,47,7.497,76,3.511,60,6.512,69,12.061,78,15.283,74,22.78,73,26.076,71,31.001,73
219,74.0,SHAW Luca,SRAM/TLD RACING,01:49.260,02:39.530,03:38.524,04:03.443,04:45.468,01:49.260,00:50.270,00:58.994,00:24.919,00:42.025,19.864,79,4.863,72,4.169,56,2.07,35,2.693,26,19.864,79,24.727,78,28.896,77,30.751,75,31.857,74
222,75.0,FISCHBACH Johannes,RADON MAGURA FACTORY,01:31.245,02:18.796,03:15.709,04:03.477,04:47.367,01:31.245,00:47.551,00:56.913,00:47.768,00:43.890,1.849,13,2.144,16,2.088,25,24.919,79,4.558,57,1.849,13,3.993,15,6.081,14,30.785,76,33.756,75
225,76.0,LEIVSSON Isak,PROPAIN DIRT ZELVY,02:00.024,02:49.487,03:46.995,04:11.590,04:54.155,02:00.024,00:49.463,00:57.508,00:24.595,00:42.565,30.628,80,4.056,61,2.683,37,1.746,24,3.233,38,30.628,80,34.684,79,37.367,78,38.898,77,40.544,76
228,77.0,BRYCELAND Josh,SANTA CRUZ SYNDICATE,01:31.755,02:19.605,03:32.526,03:58.288,05:01.805,01:31.755,00:47.850,01:12.921,00:25.762,01:03.517,2.359,22,2.443,24,18.096,79,2.913,51,24.185,79,2.359,22,4.802,19,22.898,74,25.596,69,48.194,77
231,78.0,GANNICOTT George,ONE VISION GLOBAL RACING,01:33.367,02:51.232,03:54.098,04:21.972,05:09.051,01:33.367,01:17.865,01:02.866,00:27.874,00:47.079,3.971,44,32.458,80,8.041,78,5.025,68,7.747,71,3.971,44,36.429,80,44.47,79,49.28,78,55.44,78
234,79.0,JORBA PRATS Ferran,,01:35.556,02:31.237,03:30.760,04:36.597,05:18.055,01:35.556,00:55.681,00:59.523,01:05.837,00:41.458,6.16,72,10.274,77,4.698,67,42.988,80,2.126,18,6.16,72,16.434,75,21.132,72,63.905,79,64.444,79
237,80.0,CAUVIN Guillaume,,01:31.568,02:18.083,05:28.199,05:53.927,07:35.031,01:31.568,00:46.515,03:10.116,00:25.728,01:41.104,2.172,18,1.108,4,135.291,80,2.879,50,61.772,80,2.172,18,3.28,10,138.571,80,141.235,80,201.42,80
