,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
174,59.0,MASTERS Wyn,GT FACTORY RACING,01:03.253,03:25.486,03:54.976,04:31.287,05:00.957,01:03.253,02:22.233,00:29.490,00:36.311,00:29.670,3.619,53,18.416,71,2.372,63,1.523,12,2.234,20,3.619,53,20.751,71,23.045,69,24.414,65,25.356,59
177,60.0,LESLIE Shane,,01:03.618,03:24.721,03:54.789,04:32.133,05:02.127,01:03.618,02:21.103,00:30.068,00:37.344,00:29.994,3.984,62,17.286,69,2.95,69,2.556,41,2.558,31,3.984,62,19.986,68,22.858,68,25.26,67,26.526,60
180,61.0,ATHERTON Gee,TREK FACTORY RACING DH,01:00.445,03:24.955,03:53.776,04:31.619,05:02.144,01:00.445,02:24.510,00:28.821,00:37.843,00:30.525,0.811,3,20.693,73,1.703,37,3.055,55,3.089,49,0.811,3,20.22,69,21.845,67,24.746,66,26.543,61
183,62.0,RICHARDS Shaun,,01:04.016,03:21.507,03:51.832,04:30.531,05:02.648,01:04.016,02:17.491,00:30.325,00:38.699,00:32.117,4.382,68,13.674,65,3.207,71,3.911,68,4.681,69,4.382,68,16.772,66,19.901,66,23.658,63,27.047,62
186,63.0,CAIRE Carlo,AB DEVINCI ITALY,01:04.291,03:21.375,03:51.814,04:31.089,05:02.816,01:04.291,02:17.084,00:30.439,00:39.275,00:31.727,4.657,69,13.267,61,3.321,73,4.487,71,4.291,66,4.657,69,16.64,65,19.883,65,24.216,64,27.215,63
189,64.0,HARNSTROM Oscar,EXCEPTIO SPORT COMMENCAL,01:02.810,03:26.508,03:55.363,04:32.875,05:03.128,01:02.810,02:23.698,00:28.855,00:37.512,00:30.253,3.176,45,19.881,72,1.737,40,2.724,49,2.817,43,3.176,45,21.773,72,23.432,70,26.002,68,27.527,64
192,65.0,GUTIERREZ VILLEGAS Marcelo,GIANT FACTORY OFF-ROAD TEAM,01:02.197,03:09.833,03:41.831,04:28.622,05:04.569,01:02.197,02:07.636,00:31.998,00:46.791,00:35.947,2.563,30,3.819,9,4.88,75,12.003,75,8.511,73,2.563,30,5.098,11,9.9,26,21.749,60,28.968,65
195,66.0,WALLACE Mark,DEVINCI GLOBAL RACING,01:03.694,03:17.810,03:57.078,04:35.081,05:04.827,01:03.694,02:14.116,00:39.268,00:38.003,00:29.746,4.06,65,10.299,54,12.15,77,3.215,57,2.31,24,4.06,65,13.075,51,25.147,72,28.208,71,29.226,66
198,67.0,RUFFIN Thibaut,COMMENCAL / VALLNORD,01:02.309,03:15.650,03:45.329,04:33.756,05:05.319,01:02.309,02:13.341,00:29.679,00:48.427,00:31.563,2.675,33,9.524,46,2.561,66,13.639,76,4.127,65,2.675,33,10.915,45,13.398,46,26.883,69,29.718,67
201,68.0,JONES William,ONE VISION GLOBAL RACING,01:03.592,03:25.263,03:55.629,04:34.957,05:06.226,01:03.592,02:21.671,00:30.366,00:39.328,00:31.269,3.958,61,17.854,70,3.248,72,4.54,72,3.833,63,3.958,61,20.528,70,23.698,71,28.084,70,30.625,68
204,69.0,WILLIAMSON Jay,STEVE PEAT SYNDICATE / UBERBIKE GLOBAL,01:05.089,03:30.599,04:00.080,04:37.535,05:07.412,01:05.089,02:25.510,00:29.481,00:37.455,00:29.877,5.455,71,21.693,74,2.363,62,2.667,48,2.441,29,5.455,71,25.864,75,28.149,75,30.662,74,31.811,69
207,70.0,JAUCH Jasper,,01:14.292,03:29.832,03:58.127,04:37.003,ays 00:05,01:14.292,02:15.540,00:28.295,00:38.876,00:30.997,14.658,77,11.723,57,1.177,23,4.088,70,3.561,60,14.658,77,25.097,74,26.196,73,30.13,72,32.399,70
210,71.0,HAMILTON Louis,,01:05.772,03:31.337,04:01.211,04:39.215,05:09.119,01:05.772,02:25.565,00:29.874,00:38.004,00:29.904,6.138,75,21.748,75,2.756,67,3.216,58,2.468,30,6.138,75,26.602,76,29.28,76,32.342,75,33.518,71
213,72.0,HEATH Harry,NORCO FACTORY RACING,01:00.853,03:29.288,03:58.880,04:37.157,05:09.392,01:00.853,02:28.435,00:29.592,00:38.277,00:32.235,1.219,6,24.618,76,2.474,64,3.489,62,4.799,70,1.219,6,24.553,73,26.949,74,30.284,73,33.791,72
216,73.0,CUNNINGHAM Ruaridh,UNIOR TOOLS TEAM,01:01.212,03:11.617,03:40.507,04:22.393,05:14.367,01:01.212,02:10.405,00:28.890,00:41.886,00:51.974,1.578,13,6.588,22,1.772,42,7.098,74,24.538,75,1.578,13,6.882,21,8.576,21,15.52,40,38.766,73
219,74.0,BRANNIGAN George,COMMENCAL / VALLNORD,01:00.497,03:11.193,03:39.422,04:14.961,05:15.056,01:00.497,02:10.696,00:28.229,00:35.539,01:00.095,0.863,4,6.879,24,1.111,17,0.751,4,32.659,76,0.863,4,6.458,17,7.491,18,8.088,11,39.455,74
222,75.0,POTGIETER Johann,,01:03.642,03:34.484,04:04.626,04:44.487,05:16.822,01:03.642,02:30.842,00:30.142,00:39.861,00:32.335,4.008,64,27.025,77,3.024,70,5.073,73,4.899,72,4.008,64,29.749,77,32.695,77,37.614,77,41.221,75
225,76.0,CAUVIN Guillaume,GIANT FACTORY OFF-ROAD TEAM,01:02.936,03:16.932,03:50.353,04:41.762,05:23.533,01:02.936,02:13.996,00:33.421,00:51.409,00:41.771,3.302,47,10.179,52,6.303,76,16.621,77,14.335,74,3.302,47,12.197,48,18.422,61,34.889,76,47.932,76
228,78.0,MAES Martin,GT FACTORY RACING,01:00.688,03:12.184,03:40.718,04:17.503,05:42.205,01:00.688,02:11.496,00:28.534,00:36.785,01:24.702,1.054,5,7.679,28,1.416,28,1.997,25,57.266,77,1.054,5,7.449,22,8.787,22,10.63,23,66.604,77
