,Name,split1,split2,split3,sector1,sector2,sector3,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank
78,ALVES DE BORBA Lucas Eduardo,01:32.845,03:19.881,04:31.872,01:32.845,01:47.036,01:11.991,15.258,91,22.208,74,23.413,90,15.258,91,37.466,78,59.388,79
79,ONDIC Jozef,01:29.435,03:12.943,04:33.209,01:29.435,01:43.508,01:20.266,11.848,80,18.68,62,31.688,97,11.848,80,30.528,66,60.725,80
80,KERESZTES Peter,01:35.463,03:30.962,04:34.549,01:35.463,01:55.499,01:03.587,17.876,98,30.671,81,15.009,77,17.876,98,48.547,84,62.065,81
81,ZULUAGA Esteban,01:36.476,03:30.400,04:34.859,01:36.476,01:53.924,01:04.459,18.889,99,29.096,79,15.881,79,18.889,99,47.985,83,62.375,82
82,BRUNI Loic,01:22.677,03:16.804,04:35.133,01:22.677,01:54.127,01:18.329,5.09,19,29.299,80,29.751,96,5.09,19,34.389,73,62.649,83
83,UCEN Lukas,01:28.471,03:31.624,04:36.533,01:28.471,02:03.153,01:04.909,10.884,74,38.325,93,16.331,80,10.884,74,49.209,85,64.049,84
84,YANNICK WENDE Yan,01:34.696,03:35.707,04:38.050,01:34.696,02:01.011,01:02.343,17.109,95,36.183,89,13.765,76,17.109,95,53.292,87,65.566,85
85,MAIO Jeremias,01:41.633,03:39.462,04:38.777,01:41.633,01:57.829,00:59.315,24.046,105,33.001,85,10.737,67,24.046,105,57.047,90,66.293,86
86,PALOTAI Gabor,01:36.937,03:38.518,04:40.058,01:36.937,02:01.581,01:01.540,19.35,101,36.753,91,12.962,73,19.35,101,56.103,89,67.574,87
87,GATEV Stivian,01:37.304,03:33.731,04:42.093,01:37.304,01:56.427,01:08.362,19.717,102,31.599,82,19.784,85,19.717,102,51.316,86,69.609,88
88,MILANI Mario,01:28.746,03:14.577,04:42.945,01:28.746,01:45.831,01:28.368,11.159,77,21.003,72,39.79,98,11.159,77,32.162,69,70.461,89
89,CASAL VALLS Guillem,01:36.852,03:40.609,04:47.476,01:36.852,02:03.757,01:06.867,19.265,100,38.929,94,18.289,83,19.265,100,58.194,93,74.992,90
90,BARILARO CAPARROS Albert,01:35.049,03:36.046,04:49.189,01:35.049,02:00.997,01:13.143,17.462,97,36.169,88,24.565,91,17.462,97,53.631,88,76.705,91
91,NEYCHEV Joan,01:38.300,03:39.554,04:51.178,01:38.300,02:01.254,01:11.624,20.713,104,36.426,90,23.046,89,20.713,104,57.139,91,78.694,92
92,SAVA Ioan-Andrei,01:45.229,04:01.241,05:14.894,01:45.229,02:16.012,01:13.653,27.642,106,51.184,95,25.075,92,27.642,106,78.826,94,102.41,93
93,KUSHIMA Yuki,01:27.998,04:21.786,05:30.937,01:27.998,02:53.788,01:09.151,10.411,68,88.96,96,20.573,86,10.411,68,99.371,95,118.453,94
94,ZAMBO David,01:38.003,03:40.564,05:33.027,01:38.003,02:02.561,01:52.463,20.416,103,37.733,92,63.885,99,20.416,103,58.149,92,120.543,95
95,CAROLI Jerome,02:47.566,04:47.095,05:45.098,02:47.566,01:59.529,00:58.003,89.979,107,34.701,87,9.425,61,89.979,107,124.68,97,132.614,96
96,SEEWALD Pablo,01:26.671,04:52.334,05:50.407,01:26.671,03:25.663,00:58.073,9.084,54,120.835,98,9.495,62,9.084,54,129.919,98,137.923,97
97,LUCAS Dean,01:19.900,05:09.403,07:13.482,01:19.900,03:49.503,02:04.079,2.313,4,144.675,101,75.501,100,2.313,4,146.988,99,220.998,98
98,NOVACK VIEIRA Roger,02:49.991,06:28.908,07:43.242,02:49.991,03:38.917,01:14.334,92.404,108,134.089,100,25.756,93,92.404,108,226.493,104,250.758,99
99,IRMISCH Erik,01:29.106,04:30.808,07:48.345,01:29.106,03:01.702,03:17.537,11.519,79,96.874,97,148.959,109,11.519,79,108.393,96,255.861,100
100,PIERRON Amaury,01:20.729,06:19.737,08:27.832,01:20.729,04:59.008,02:08.095,3.142,11,214.18,104,79.517,101,3.142,11,217.322,100,295.348,101
101,REVELLI Loris,04:31.536,08:09.861,09:27.832,04:31.536,03:38.325,01:17.971,193.949,109,133.497,99,29.393,95,193.949,109,327.446,109,355.348,105
102,GWIN Aaron,01:19.135,06:28.908,09:27.832,01:19.135,05:09.773,02:58.924,1.548,3,224.945,109,130.346,105,1.548,3,226.493,104,355.348,105
103,JACKSON Eliot,01:22.715,06:28.908,09:27.832,01:22.715,05:06.193,02:58.924,5.128,21,221.365,108,130.346,105,5.128,21,226.493,104,355.348,105
104,TRUMMER David,01:22.840,06:28.908,09:27.832,01:22.840,05:06.068,02:58.924,5.253,22,221.24,107,130.346,105,5.253,22,226.493,104,355.348,105
105,JORBA PRATS Ferran,01:26.735,06:28.908,09:27.832,01:26.735,05:02.173,02:58.924,9.148,57,217.345,106,130.346,105,9.148,57,226.493,104,355.348,105
106,ACUNA QUINTANA Mauricio Andres,01:28.110,06:28.908,09:27.832,01:28.110,05:00.798,02:58.924,10.523,69,215.97,105,130.346,105,10.523,69,226.493,104,355.348,105
107,LAMPEN Antti,01:31.321,06:28.908,09:27.832,01:31.321,04:57.587,02:58.924,13.734,89,212.759,103,130.346,105,13.734,89,226.493,104,355.348,105
108,ZOTTIS Maicon,01:33.630,06:28.908,09:27.832,01:33.630,04:55.278,02:58.924,16.043,93,210.45,102,130.346,105,16.043,93,226.493,104,355.348,105
