,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
96,33.0,ATWILL Philip,PROPAIN DIRT ZELVY,00:59.810,02:24.718,02:48.565,03:15.627,03:33.580,00:59.810,01:24.908,00:23.847,00:27.062,00:17.953,3.855,37,3.847,33,1.14,27,0.397,16,2.092,57,3.855,37,7.67,33,8.065,33,8.353,32,9.884,33
99,34.0,COULANGES Benoit,DORVAL AM NICOLAI,00:59.031,02:24.943,02:48.416,03:16.048,03:33.954,00:59.031,01:25.912,00:23.473,00:27.632,00:17.906,3.076,25,4.851,39,0.766,18,0.967,43,2.045,54,3.076,25,7.895,34,7.916,32,8.774,34,10.258,34
102,35.0,NEETHLING Andrew,POLYGON UR,01:01.737,02:25.062,02:49.140,03:15.954,03:34.009,01:01.737,01:23.325,00:24.078,00:26.814,00:18.055,5.782,60,2.264,19,1.371,38,0.149,6,2.194,59,5.782,60,8.014,35,8.64,37,8.68,33,10.313,35
105,36.0,MARIN TRILLO Alex,GIANT FACTORY OFF-ROAD TEAM,00:58.601,02:25.183,02:48.939,03:16.299,03:34.013,00:58.601,01:26.582,00:23.756,00:27.360,00:17.714,2.646,19,5.521,46,1.049,26,0.695,30,1.853,48,2.646,19,8.135,38,8.439,35,9.025,35,10.317,36
108,37.0,PEKOLL Markus,MS MONDRAKER TEAM,00:59.967,02:25.704,02:49.788,03:17.332,03:34.122,00:59.967,01:25.737,00:24.084,00:27.544,00:16.790,4.012,39,4.676,37,1.377,39,0.879,38,0.929,16,4.012,39,8.656,40,9.288,39,10.058,40,10.426,37
111,38.0,CABIROU Rudy,VOULVOUL RACING,00:59.593,02:25.805,02:49.821,03:16.904,03:34.275,00:59.593,01:26.212,00:24.016,00:27.083,00:17.371,3.638,33,5.151,41,1.309,31,0.418,20,1.51,35,3.638,33,8.757,42,9.321,40,9.63,39,10.579,38
114,39.0,SIMMONDS Matthew,MADISON SARACEN FACTORY TEAM,00:59.524,02:23.775,02:48.735,03:16.605,03:34.316,00:59.524,01:24.251,00:24.960,00:27.870,00:17.711,3.569,31,3.19,24,2.253,57,1.205,51,1.85,46,3.569,31,6.727,27,8.235,34,9.331,37,10.62,39
117,40.0,MOIR Jack,INTENSE FACTORY RACING,01:00.227,02:26.674,02:50.792,03:18.052,03:34.861,01:00.227,01:26.447,00:24.118,00:27.260,00:16.809,4.272,43,5.386,44,1.411,43,0.595,25,0.948,17,4.272,43,9.626,44,10.292,42,10.778,42,11.165,40
120,41.0,LUCAS Dean,INTENSE FACTORY RACING,01:00.992,02:25.611,02:49.834,03:17.508,03:35.220,01:00.992,01:24.619,00:24.223,00:27.674,00:17.712,5.037,52,3.558,28,1.516,45,1.009,44,1.851,47,5.037,52,8.563,39,9.334,41,10.234,41,11.524,41
123,42.0,FAIRCLOUGH Brendan,GSTAAD-SCOTT,00:59.945,02:25.751,02:49.033,03:16.626,03:35.476,00:59.945,01:25.806,00:23.282,00:27.593,00:18.850,3.99,38,4.745,38,0.575,12,0.928,42,2.989,73,3.99,38,8.703,41,8.533,36,9.352,38,11.78,42
126,43.0,CONNELL Joseph,SOLID REVERSE FACTORY RACING,00:59.990,02:27.435,02:52.171,03:20.333,03:36.549,00:59.990,01:27.445,00:24.736,00:28.162,00:16.216,4.035,40,6.384,56,2.029,54,1.497,59,0.355,6,4.035,40,10.387,47,11.671,45,13.059,47,12.853,43
129,44.0,RIESCO Forrest,,01:00.329,02:28.146,02:52.619,03:20.078,03:36.651,01:00.329,01:27.817,00:24.473,00:27.459,00:16.573,4.374,44,6.756,61,1.766,50,0.794,35,0.712,10,4.374,44,11.098,50,12.119,47,12.804,46,12.955,44
